1.013,1.0244,1.0136,1.0216,1.0434,1.0568,1.1054,1.115,1.2108,1.2218,1.1874,1.1654,1.184,1.1822,1.2974,1.3332,1.2536,1.2748,1.219,1.2572,1.4292,1.5778,1.8476,2.2336,2.6334,2.9244,2.656,2.1632,1.9334,1.7078,1.5454,1.282,1.3726,1.4352,1.472,1.345,1.1178,1.1242,1.3694,1.4904,1.5968,1.6082,1.455,1.296,1.2204,1.2356,1.1216,1.0666,1.0552,1.02,1.0046,1.0138,1.005,1.0054,1.0104,1.0072,1.0052,1.0072,1.0012,1.007,1
1.053,1.088,1.0274,1.0168,1.061,1.0876,1.0682,1.156,1.1688,1.1558,1.0654,1.412,1.3816,1.213,1.2914,1.4464,1.414,1.221,1.2156,1.233,1.4448,1.1378,1.412,1.4768,1.1808,1.4556,2.1744,2.6914,2.6934,2.5358,2.611,2.252,2.309,2.7494,2.977,2.8696,2.392,2.1466,2.1744,2.3326,2.1302,2.0494,1.7368,1.3994,1.3024,1.1016,1.1862,1.1964,1.1048,1.0376,1.02,1.0076,1.0374,1.0312,1.0136,1.0194,1.0146,1.0162,1.0172,1.019,1
1.0382,1.0346,1.0582,1.0602,1.0926,1.138,1.1152,1.2206,1.4846,1.6268,1.9572,2.0478,1.8786,1.688,1.5738,1.7778,1.884,1.7784,1.8176,2.0012,2.4542,2.877,3,2.9662,2.9864,2.8322,2.6474,2.3914,1.9072,1.6562,1.5044,1.7928,1.8308,1.6616,1.289,1.3846,1.6416,1.6734,2.1366,2.101,1.6462,1.0896,1.6262,1.6774,1.826,1.7278,1.4138,1.1718,1.12,1.0534,1.025,1.008,1.0272,1.0274,1.0344,1.0264,1.022,1.0244,1.0228,1.0136,-1
1.0462,1.0702,1.006,1.0608,1.0678,1.172,1.3476,1.2702,1.2126,1.0694,1.115,1.2764,1.4548,1.8076,2.0446,2.3694,2.5042,2.552,2.5416,2.7254,3,2.7746,2.6114,2.752,2.8132,2.886,2.7692,2.3,1.594,1.4846,1.5984,1.457,1.4554,1.3058,1.2074,1.0704,1.2146,1.2746,1.2662,1.2908,1.223,1.088,1.1524,1.2762,1.1662,1.1308,1.1688,1.119,1.0994,1.0626,1.0308,1.0212,1.0194,1.0044,1.0104,1.0144,1.0112,1.0076,1.0086,1.006,1
1.0144,1.0054,1.0178,1.0122,1.084,1.173,1.2364,1.1998,1.3952,1.4636,1.4944,1.576,1.4252,1.1416,1.2388,1.5616,1.8442,2.0558,2.1714,2.2306,2.3506,2.5746,2.7948,2.9656,3,2.692,2.211,1.6072,1.0288,1.5052,1.867,1.9836,2.0818,2.1922,2.0496,1.7554,1.4738,1.344,1.3756,1.65,1.515,1.4846,1.5412,1.4646,1.3448,1.2914,1.235,1.1736,1.0784,1.0262,1.0184,1.0156,1.0142,1.0162,1.0068,1.0128,1.0074,1.0072,1.0024,1.0074,-1
1.1462,1.2498,1.333,1.2992,1.2886,1.554,1.511,1.3424,1.0932,1.2228,1.3478,1.632,1.6498,1.4328,1.4062,1.516,1.3592,1.4844,1.7218,1.362,1.5208,2.3144,2.9468,2.9514,2.6158,2.3042,1.983,2.0726,2.5298,2.05,2.0202,1.8438,1.832,1.3812,1.0446,1.8438,2.0992,1.4966,1.4068,1.5458,1.5674,1.8926,1.6356,1.1614,1.2384,1.4268,1.6482,1.589,1.2948,1.0422,1.0722,1.0888,1.046,1.058,1.0282,1.0322,1.0354,1.0388,1.0414,1.0114,-1
1.045,1.0038,1.015,1.0194,1.089,1.1812,1.1778,1.131,1.3248,1.2904,1.2884,1.1896,1.1236,1.3282,1.1416,1.1688,1.518,1.5358,1.6188,1.9356,2.1916,2.449,2.7546,2.8428,2.8564,2.9884,3,2.8142,2.709,2.4586,2.2998,2.2142,2.1176,2.1934,2.255,2.0918,1.9572,1.793,1.4174,1.3302,1.3672,1.1304,1.1516,1.0972,1.0706,1.0594,1.0482,1.0758,1.0238,1.0146,1.0102,1.0068,1.0258,1.02,1.0088,1.0114,1.006,1.007,1.0042,1.0054,1
1.0186,1.037,1.0112,1.0128,1.052,1.0916,1.094,1.0114,1.085,1.128,1.1776,1.3198,1.3082,1.5536,1.4352,1.5598,1.6982,1.5648,1.4958,1.601,1.86,1.9368,1.904,2.0052,2.2434,2.3142,2.3264,2.4642,2.7068,3,2.6896,2.2708,2.2616,2.2422,2.3952,2.1736,1.9778,1.7366,1.4086,1.2938,1.444,1.2898,1.298,1.2422,1.2288,1.1582,1.073,1.0304,1.017,1.024,1.0044,1.0138,1.0128,1.0258,1.0228,1.0108,1.0178,1.01,1.0116,1.005,1
1.0918,1.0874,1.0694,1.0912,1.0134,1.178,1.3596,1.3482,1.3196,1.2816,1.5386,1.6518,1.909,2.157,1.8942,1.4462,1.4328,1.6402,1.583,1.847,1.892,1.476,2.283,2.7932,2.7836,2.5058,2.3676,2.678,3,2.6724,2.0854,1.9154,2.6134,2.3946,1.783,1.3116,1.3196,1.4322,2.0356,1.9564,1.4688,1.7198,1.557,1.3614,1.0704,1.0946,1.0644,1.0816,1.0326,1.0176,1.0242,1.0134,1.0064,1.0218,1.0328,1.0302,1.014,1.017,1.0234,1.0112,1
1.0418,1.0556,1.023,1.089,1.0854,1.1532,1.2916,1.286,1.3788,1.3706,1.3496,1.3112,1.2952,1.2756,1.5168,1.7654,1.9568,2.072,2.2384,2.5824,2.8528,3,2.816,2.487,2.1114,1.6344,1.259,1.1196,1.5444,1.7232,1.6586,1.971,1.7872,1.369,1.0684,1.4978,1.7674,1.7028,1.5308,1.352,1.3198,1.1732,1.118,1.1626,1.0984,1.0834,1.099,1.0734,1.023,1.0236,1.0266,1.0192,1.0028,1.0098,1.0078,1.0058,1.0156,1.0094,1.0042,1.0022,-1
